# Apple-Silicon MuMax3 proxy ensemble, anchored to one measurement.
# Generated by bench/apple_project.py; do not edit numeric rows.
#
# measured: MacBook Air M4 10-GPU-core, 32 GB, fanless; 2048x2048,
# solver 2 (Heun), 100 timed steps, median of 21 fresh processes
# (three sets of seven). Every raw wall time is in the generator
# docstring, so the anchor arithmetic is reproducible from this repo.
# Modeled rows are not MuMax3 benchmarks. low..high is a workload/model
# envelope (coherent proxy paths + leave-one-family-out), not a CI.
# See the generator docstring for model definition and source URLs.
#
# central/low/high describe the 4.19M-cell operating point only, where
# the workload is bandwidth-bound. crossover_mesh is the square mesh
# below which the measured per-evaluation overhead floor of
# 186.7 us binds instead, and extra GPU width buys nothing:
# under it every chip in this table converges to the same ceiling of
# cells / 186.7 us. See bench/curve.txt for the measured
# size scaling that the floor comes from.
#
# columns: bandwidth_GB_s  gpu_cores  central  low  high  crossover_mesh  status  "name"
67  8  61603977.029142156  55779953.62724673  84411178.644864395  107  modeled  "Apple M1 8c"
200  16  153952302.96404991  127256038.65544403  175856622.17680082  170  modeled  "Apple M1 Pro 16c"
400  32  285069656.2000168  253135797.61517844  351713244.35360163  231  modeled  "Apple M1 Max 32c"
800  64  496980023.40739834  413473056.72946221  703426488.70720327  305  modeled  "Apple M1 Ultra 64c"
100  10  93918074.587703973  85603175.213789836  105513973.30608049  132  modeled  "Apple M2 10c"
200  19  176803405.13715708  162609944.39272654  200476549.28155291  182  modeled  "Apple M2 Pro 19c"
400  38  332914489.00982004  306727964.3081941  400953098.56310582  249  modeled  "Apple M2 Max 38c"
800  76  576522022.11330891  462867073.38229072  801906197.12621164  328  modeled  "Apple M2 Ultra 76c"
100  10  94340579.001281083  87928311.088400409  105513973.30608049  133  modeled  "Apple M3 10c"
150  18  147423948.12447521  131892466.63260061  189925151.9509449  166  modeled  "Apple M3 Pro 18c"
300  30  272257518.61698961  257264920.4218694  316541919.9182415  225  modeled  "Apple M3 Max 30c"
400  40  359616637.35883427  310927842.6596809  422055893.22432196  259  modeled  "Apple M3 Max 40c"
819.2  60  523735829.51943427  437709477.24802142  720308724.43617618  313  modeled  "Apple M3 Ultra 60c"
819.2  80  735280785.10728085  448206856.832192  844111786.44864392  371  modeled  "Apple M3 Ultra 80c"
120  10  105513973.30608049  105513973.30608049  105513973.30608049  140  measured  "Apple M4 10c"
273  16  209823253.53560823  168822357.28972879  240044289.2713331  198  modeled  "Apple M4 Pro 16c"
273  20  236472888.07349205  210908891.61541101  261674653.79907963  210  modeled  "Apple M4 Pro 20c"
410  32  335212236.56465894  323504046.01059604  360506075.46244168  250  modeled  "Apple M4 Max 32c"
546  40  416033766.10596609  391287390.41723055  480088578.5426662  279  modeled  "Apple M4 Max 40c"
153  10  123792970.27985634  105513973.30608049  134530315.96525261  152  modeled  "Apple M5 10c"
307  16  239137318.03935161  168822357.28972879  270973938.99273902  211  modeled  "Apple M5 Pro 16c"
307  20  253308284.73600087  211027946.61216098  274631783.54377013  217  modeled  "Apple M5 Pro 20c"
460  32  385293939.04431015  337644714.57945758  404470231.00664186  268  modeled  "Apple M5 Max 32c"
614  40  478348042.93139893  422055893.22432196  539879830.08277845  299  modeled  "Apple M5 Max 40c"
