# t (s)	mx ()	my ()	mz ()
0	0.9669659	0.12528087	0
1.078136746696888e-11	0.9637246	0.1362284	-0.013449233
2.0473911997223928e-11	0.95488286	0.16343632	-0.02490722
3.04430227318551e-11	0.93853056	0.20658945	-0.03579755
4.0460209559124954e-11	0.9129603	0.26258326	-0.045538895
5.037863601100189e-11	0.87719095	0.32700542	-0.053800993
6.029766290205873e-11	0.83021057	0.39668408	-0.060714163
7.020885598543435e-11	0.7717688	0.46812177	-0.06658629
8.016853691067948e-11	0.70128447	0.538705	-0.072014876
9.002503378401632e-11	0.6194402	0.6046561	-0.07766717
1.0046828454760416e-10	0.51833934	0.6670521	-0.084928416
1.1017284087146741e-10	0.4093395	0.71412873	-0.09376065
1.2056080966120867e-10	0.2748279	0.7464404	-0.106085084
1.3029139283953075e-10	0.13247344	0.7521142	-0.11994088
1.4011531713169282e-10	-0.023370069	0.7269906	-0.1345989
1.500041913403289e-10	-0.18594688	0.66755897	-0.14807335
1.6053574023677158e-10	-0.35719195	0.56759524	-0.15952756
1.702673623885429e-10	-0.50511086	0.44425797	-0.16660167
1.8055903249650426e-10	-0.64051497	0.28667903	-0.16908549
1.9012057438766946e-10	-0.7410823	0.12194817	-0.16528489
2.0039291830603016e-10	-0.81760776	-0.06748562	-0.15282384
2.1001325560103743e-10	-0.8517784	-0.24438687	-0.13112664
2.2032232870507567e-10	-0.8384542	-0.40456104	-0.09521787
2.3060417360687908e-10	-0.78280294	-0.4896327	-0.050614394
2.401754379308754e-10	-0.7258657	-0.4852961	-0.011911818
2.5041704910857247e-10	-0.6827179	-0.41262963	0.020577852
2.6063476428862533e-10	-0.6609696	-0.30278084	0.04337378
2.7013591807347653e-10	-0.6557888	-0.19710854	0.056025967
2.803160543850824e-10	-0.6629287	-0.10575326	0.06274971
2.905377407904839e-10	-0.6878763	-0.044434864	0.06654313
3.001080681963348e-10	-0.7424954	-0.009174798	0.06963577
3.103777536398516e-10	-0.83183867	0.025672255	0.07337642
3.20650823044582e-10	-0.9160844	0.09293176	0.07673498
3.3023243440338357e-10	-0.93197834	0.18620276	0.07386889
3.405167888787917e-10	-0.86125934	0.26258525	0.06273551
3.501153560435306e-10	-0.7710924	0.29018816	0.04944584
3.603856724432926e-10	-0.70215434	0.30083507	0.035285916
3.7064588953883735e-10	-0.6769636	0.3172898	0.021112705
3.80244736405483e-10	-0.68660676	0.34714085	0.0065484373
3.905666449872105e-10	-0.72475153	0.38745013	-0.011314722
4.001729392754524e-10	-0.77866715	0.4079241	-0.03013159
4.1043993985351347e-10	-0.8412451	0.3846437	-0.051291846
4.200126246298324e-10	-0.889939	0.31646305	-0.06884394
4.302747758286243e-10	-0.91729635	0.20594284	-0.08141877
4.4054480159194046e-10	-0.9145316	0.07824637	-0.08442848
4.501276366967348e-10	-0.89395076	-0.031964622	-0.07701008
4.6040993845282826e-10	-0.86912924	-0.1288455	-0.060112916
4.700064806860318e-10	-0.8536134	-0.2002893	-0.038338605
4.802080901102563e-10	-0.8558269	-0.2516721	-0.010917098
4.903827119134259e-10	-0.8824029	-0.26516062	0.01953342
5.005724086477629e-10	-0.921255	-0.22251293	0.049098328
5.100943992229042e-10	-0.94426334	-0.13286851	0.06976991
5.203148264182646e-10	-0.9406327	-0.009097269	0.08161815
5.305681479126976e-10	-0.9166844	0.12002706	0.082977444
5.401724993959277e-10	-0.8840491	0.23459066	0.07561299
5.504685357952477e-10	-0.84933674	0.340986	0.059016258
5.600563452912957e-10	-0.8293947	0.41531026	0.036431693
5.70325940648183e-10	-0.8297677	0.45842043	0.0070989653
5.806096192315297e-10	-0.85309094	0.454899	-0.023495562
5.902287470664217e-10	-0.88563454	0.40479228	-0.049127355
6.005266441483512e-10	-0.9136456	0.30509034	-0.06906914
6.101112250907543e-10	-0.92252713	0.18672712	-0.07686631
6.203797852849958e-10	-0.91497105	0.05792158	-0.0722101
6.300002963451483e-10	-0.9013734	-0.0432244	-0.057240076
6.403226618518736e-10	-0.8937335	-0.1165498	-0.033321112
6.506348496506055e-10	-0.90250134	-0.14867283	-0.005628408
6.602483838110652e-10	-0.92595816	-0.1393514	0.02009717
6.705199032460717e-10	-0.9555911	-0.08567551	0.04365664
6.800901766801401e-10	-0.97110814	-0.0018202951	0.057716962
6.903172077518782e-10	-0.9660398	0.10356054	0.061474204
7.005266656401253e-10	-0.94475806	0.20292659	0.054396294
7.1004972038169e-10	-0.9221423	0.27782404	0.04055279
7.202781312798687e-10	-0.9071957	0.33112577	0.020502996
