# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	5.2154064e-08	-3.4839613e-06	-0.01718403	0	0	0
0	0.02470471	-1.8050487e-06	-0.017186448	0.001	0	0
0	0.049428366	-9.2285336e-07	-0.017193723	0.002	0	0
0	0.074040174	-4.7139474e-07	-0.017205626	0.0030000003	0	0
0	0.09856972	-2.476736e-07	-0.017223721	0.004	0	0
0	0.12298796	-1.3364479e-07	-0.017247085	0.0049999994	0	0
0	0.14716434	-7.1449904e-08	-0.017277736	0.0060000005	0	0
0	0.171192	-3.754394e-08	-0.017316073	0.0069999998	0	0
0	0.19494988	-2.5174813e-08	-0.017363288	0.008	0	0
0	0.21841516	-2.2759195e-08	-0.017420838	0.009	0	0
0	0.24162723	-1.9557774e-08	-0.017491104	0.009999999	0	0
0	0.26450735	-1.4493708e-08	-0.017574891	0.011	0	0
0	0.28709924	-1.7229468e-08	-0.017676461	0.012000001	0	0
0	0.30946198	-1.4697434e-08	-0.017798409	0.012999998	0	0
0	0.3317235	-1.603621e-08	-0.017946273	0.0139999995	0	0
0	0.35400414	-1.51922e-08	-0.018127525	0.015	0	0
0	0.37693703	-1.0884833e-08	-0.018358352	0.016	0	0
0	0.40144983	-1.2776582e-08	-0.018670185	0.017000003	0	0
0	0.4331227	-1.2019882e-08	-0.01922329	0.018	0	0
0	0.97029084	-4.001322e-09	7.927302e-14	0.019	0	0
0	0.97078234	-2.0272637e-09	-1.3641559e-23	0.019999998	0	0
0	0.97126806	-3.2905518e-09	1.6173367e-29	0.021	0	0
0	0.97174764	-2.3592293e-09	-2.5378056e-35	0.022	0	0
0	0.97222173	-4.278263e-09	-1.8549688e-37	0.023	0	0
0	0.97269005	-2.2009772e-09	-1.7987246e-37	0.024000002	0	0
0	0.97315323	-1.4988473e-09	-1.795944e-37	0.025000002	0	0
0	0.9736109	-2.750312e-09	-1.7899044e-37	0.025999997	0	0
0	0.97406375	-7.243216e-09	-1.7436638e-37	0.026999999	0	0
0	0.97451115	-4.0745363e-09	-1.7694843e-37	0.027999999	0	0
0	0.97495455	4.4165063e-09	-1.8870026e-37	0.029	0	0
0	0.9753921	-2.4374458e-09	-1.7383859e-37	0.03	0	0
0	0.9758255	-6.7957444e-09	-1.7098917e-37	0.031000001	0	0
0	0.97625446	-4.9185473e-09	-1.7084753e-37	0.032	0	0
0	0.97667897	-4.307367e-09	-1.7035722e-37	0.032999996	0	0
0	0.9770995	-2.9467628e-09	-1.6798239e-37	0.034000006	0	0
0	0.97751564	-5.7771103e-09	-1.6759706e-37	0.035	0	0
0	0.97792804	-5.980837e-09	-1.6501304e-37	0.036	0	0
0	0.978336	-3.1650416e-09	-1.6424924e-37	0.037	0	0
0	0.9787407	-5.7043508e-09	-1.6256336e-37	0.038	0	0
0	0.9791415	-4.2491592e-09	-1.6235733e-37	0.039	0	0
0	0.97953874	-5.4205884e-09	-1.6097478e-37	0.039999995	0	0
0	0.9799326	-4.7366484e-09	-1.6045446e-37	0.041000005	0	0
0	0.98032314	-6.2464096e-09	-1.5860515e-37	0.042	0	0
0	0.9807102	-6.9885573e-09	-1.6014168e-37	0.043000005	0	0
0	0.9810943	-4.631147e-09	-1.5950421e-37	0.044	0	0
0	0.98147535	-3.936293e-09	-1.5820682e-37	0.045	0	0
0	0.9818534	-6.486516e-09	-1.5474199e-37	0.046	0	0
0	0.9822287	-2.5584086e-09	-1.5492052e-37	0.046999995	0	0
0	0.9826013	-6.0663297e-09	-1.53058e-37	0.048000004	0	0
0	0.98297125	-9.102223e-09	-1.5344219e-37	0.049	0	0
0	0.9833388	-7.221388e-09	-1.5210889e-37	0.050000004	0	0
0	0.9837039	-7.690687e-09	-1.5089682e-37	0.051	0	0
0	0.9840665	-7.203198e-09	-1.4630916e-37	0.051999994	0	0
0	0.98442733	-9.764335e-09	-1.4925945e-37	0.053	0	0
0	0.9847863	-9.960786e-09	-1.4500564e-37	0.053999998	0	0
0	0.9851426	-6.7520887e-09	-1.4362612e-37	0.055000003	0	0
0	0.98549736	-9.044015e-09	-1.4120832e-37	0.055999998	0	0
0	0.98585063	-1.38097676e-08	-1.4060181e-37	0.057000004	0	0
0	0.98620236	-1.5548721e-08	-1.4106066e-37	0.058	0	0
