# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)
0	6.3931026e-08	0.13799752	0	-0
1.0297341060846478e-11	0.010253487	0.13802168	0.0011011434	-0
2.0168791645395495e-11	0.013216929	0.13810454	0.0019021329	3e-09
3.020190676711878e-11	0.0094101485	0.1382583	0.0024654702	9e-09
4.0102428921750435e-11	0.013981556	0.1384557	0.0028023531	1.2e-08
5.001023246547726e-11	0.011578615	0.13874733	0.0029564528	1.8e-08
6.003754031181786e-11	0.00916334	0.13901049	0.0029566418	2.4e-08
7.024595084450051e-11	0.014537117	0.13926241	0.002816228	2.7e-08
8.020630148695284e-11	0.011675353	0.13960159	0.002557479	3.3e-08
9.00154362017853e-11	0.008470485	0.1400946	0.0021964898	3.9e-08
1.0020002478505362e-10	0.013361214	0.14086121	0.0017218569	4.2e-08
1.1020946096476048e-10	0.009863994	0.14197971	0.0011814486	4.8e-08
1.2018025095537122e-10	0.01379767	0.14354488	0.0005916034	5.1e-08
1.3019702055119934e-10	0.009487676	0.14566097	-2.9330111e-05	5.7e-08
1.401070171591995e-10	0.012437443	0.14833732	-0.0006502061	6e-08
1.504026004960896e-10	0.015259323	0.15173206	-0.0012590113	6.3e-08
1.6027525453358144e-10	0.009223613	0.15542737	-0.0017301488	6.9e-08
1.7031648850089002e-10	0.010654859	0.15927772	-0.0020102144	7.2e-08
1.8023143615445533e-10	0.011513366	0.16269462	-0.0020308816	7.5e-08
1.9013176550078253e-10	0.012114315	0.16513543	-0.0017681828	7.8e-08
2.001238289094202e-10	0.012843067	0.16600157	-0.0012463985	8.1e-08
2.1007441521417932e-10	0.013892301	0.16480172	-0.00057686405	8.4e-08
2.2020407121546406e-10	0.007869361	0.16133147	0.00012294936	9e-08
2.3018895945310698e-10	0.010337895	0.15587626	0.00070343463	9.3e-08
2.4013220674444034e-10	0.013501167	0.14893295	0.0010663979	9.6e-08
2.5009887454928133e-10	0.009288404	0.14127971	0.0011073374	1.02e-07
2.6010437527219703e-10	0.0129231885	0.13408215	0.0009458848	1.05e-07
2.700732540630037e-10	0.008291857	0.12859465	0.0012880865	1.11e-07
2.800394935296504e-10	0.011504766	0.12526548	0.00276622	1.14e-07
2.9001426628455177e-10	0.01531339	0.12407997	0.005071468	1.17e-07
3.000680254718058e-10	0.01234861	0.12500635	0.007594528	1.23e-07
3.102228908967445e-10	0.010888969	0.12800717	0.0099287955	1.29e-07
3.200595552452725e-10	0.010685285	0.1323097	0.011716601	1.35e-07
3.301180731896272e-10	0.012874857	0.13686296	0.012949698	1.41e-07
3.4011152762425443e-10	0.009150904	0.14033206	0.013666605	1.5e-07
3.502368113748348e-10	0.015179728	0.1422033	0.013919271	1.56e-07
3.6028159870507756e-10	0.01406669	0.14230002	0.01372666	1.65e-07
3.7028972488617414e-10	0.013137111	0.14070556	0.013285738	1.74e-07
3.803027441523262e-10	0.012783138	0.13755281	0.012880399	1.83e-07
3.901896236186253e-10	0.011736202	0.13328774	0.012762016	1.92e-07
4.00037031410365e-10	0.009294883	0.12832364	0.012903754	2.01e-07
4.1030400950818436e-10	0.01476963	0.12303333	0.012974389	2.07e-07
4.201806389780693e-10	0.011613634	0.1189478	0.01283693	2.16e-07
4.303040772433125e-10	0.008544973	0.11644527	0.012481962	2.25e-07
4.402093088121324e-10	0.012079722	0.115766495	0.012000424	2.31e-07
4.5015630607225154e-10	0.00812405	0.11656695	0.011593535	2.4e-07
4.600684409593111e-10	0.012591058	0.11829425	0.0114983125	2.46e-07
4.703118272287418e-10	0.010259184	0.12006483	0.011617098	2.55e-07
4.803089522968894e-10	0.015399049	0.12137745	0.011746062	2.61e-07
4.902501609081863e-10	0.012984985	0.12251535	0.012014546	2.7e-07
5e-10	0.010629943	0.12303889	0.012555829	2.79e-07
