# t (s)	mx ()	my ()	mz ()
0	1	0	0
1.008106660762238e-11	0.9991265	-0.022524746	-0.0012851089
2.013910413542801e-11	0.99594444	-0.04276751	-0.004687064
3.024719743624128e-11	0.9913666	-0.05743733	-0.009863052
4.02351917885926e-11	0.98961765	-0.064063616	-0.015901895
5.007406974447769e-11	0.9923203	-0.06190153	-0.022037368
6.017452276020369e-11	0.99634427	-0.050235678	-0.027969545
7.011762213650011e-11	0.99819285	-0.029953258	-0.032716572
8.004294141080209e-11	0.9979041	-0.0030029046	-0.0355682
9.022362396438795e-11	0.9962743	0.028469767	-0.035907917
1.0011234161617836e-10	0.9923841	0.05905452	-0.03343444
1.1008008398343876e-10	0.98536974	0.08583553	-0.028391419
1.2014576798892225e-10	0.9812934	0.105679676	-0.021502951
1.302146616766039e-10	0.9849668	0.11581543	-0.013589142
1.4008452850563173e-10	0.98956805	0.11390451	-0.0056290356
1.5010315142467563e-10	0.9891098	0.099533826	0.0016494748
1.602231780526347e-10	0.989953	0.07492992	0.0073579787
1.7005585517929949e-10	0.9941644	0.043946724	0.011157567
1.8020356602032725e-10	0.99072665	0.0070346426	0.012493161
1.9004291124402738e-10	0.97990996	-0.029362189	0.01058449
2.000165931118279e-10	0.9750534	-0.0640325	0.0059235506
2.1017542144795173e-10	0.9800455	-0.0944172	-0.00086175214
2.2014033297539725e-10	0.9829647	-0.114669725	-0.008489682
2.3024193210308374e-10	0.97876793	-0.12185385	-0.015574365
2.401097515259747e-10	0.97599244	-0.11933776	-0.020496367
2.500628439275016e-10	0.97712106	-0.11470364	-0.02496528
2.60211081082134e-10	0.9729852	-0.10622372	-0.03255653
2.7018219704471897e-10	0.9577058	-0.084309	-0.041399077
2.801767351359828e-10	0.9529102	-0.04828273	-0.04701005
2.900203073430523e-10	0.9719076	-0.0048993523	-0.050022773
3.0002280591245373e-10	0.98132855	0.043829806	-0.053741418
3.1018251292684e-10	0.9626475	0.09408931	-0.05951486
3.201059577934684e-10	0.9344787	0.15052544	-0.06800464
3.301669101391883e-10	0.9065929	0.23195165	-0.07135892
3.400631730058517e-10	0.8722521	0.31816757	-0.058052488
3.500423042192054e-10	0.83333766	0.3795881	-0.03112692
3.6021599745187285e-10	0.8172587	0.4151428	-0.0029437772
3.700095929065591e-10	0.8401034	0.4280481	0.022764325
3.800065573402609e-10	0.87569016	0.40306276	0.05398351
3.901945581092698e-10	0.8816019	0.3130593	0.0919652
4.0013749064478394e-10	0.8590731	0.16920725	0.12660597
4.1018582484499904e-10	0.8384429	-0.011676466	0.1538909
4.2017434388202526e-10	0.81789064	-0.22902066	0.1626426
4.3009234339078527e-10	0.76418895	-0.46944395	0.14182784
4.4025115675992543e-10	0.6529014	-0.67754644	0.10110768
4.5008233447097526e-10	0.51322806	-0.78433055	0.057507385
4.600091059213125e-10	0.39932892	-0.81537014	0.011159736
4.702195962928375e-10	0.33799794	-0.81636626	-0.03617559
4.800562452077357e-10	0.3491107	-0.80547416	-0.07514473
4.900203907760477e-10	0.42844945	-0.7746815	-0.104497336
5.002161357105411e-10	0.54149544	-0.7109702	-0.12775917
5.102307864790557e-10	0.65053976	-0.632776	-0.14631595
5.200150119352713e-10	0.7521629	-0.54147446	-0.16715994
5.300150094164372e-10	0.82875335	-0.387132	-0.19167654
5.401821523988835e-10	0.83915967	-0.15648462	-0.20478643
5.501177508115839e-10	0.7776657	0.09110642	-0.20784156
5.601841302421706e-10	0.6564767	0.29939702	-0.20048292
5.701067617295614e-10	0.54953754	0.45969555	-0.18068492
5.801018039150443e-10	0.457101	0.63698554	-0.14782587
5.901343477007091e-10	0.35958415	0.8007161	-0.11630043
6.000965459827563e-10	0.238258	0.8374304	-0.09317013
6.100759859942223e-10	0.1092924	0.74531996	-0.07814132
6.200857767957293e-10	0.036525518	0.64348155	-0.07180846
6.301650825305633e-10	-0.034179468	0.6004095	-0.060810514
6.40130016852267e-10	-0.15998344	0.57811743	-0.058104757
6.502499851117799e-10	-0.31369323	0.57789266	-0.06974709
6.601550267055982e-10	-0.46566334	0.6213505	-0.06813866
6.700228403534621e-10	-0.61756605	0.6334335	-0.08024799
6.802221297932861e-10	-0.70637715	0.5232113	-0.10213709
6.900315221010367e-10	-0.73954105	0.34091398	-0.10683172
7.001325344243052e-10	-0.7677944	0.14729857	-0.10152103
7.101771976920968e-10	-0.79415673	0.015088325	-0.101051606
7.200768680902111e-10	-0.82221514	-0.0858032	-0.096955374
7.300975185504683e-10	-0.86349624	-0.2100416	-0.08012142
7.401416593808417e-10	-0.8997607	-0.29442003	-0.05820441
7.501487875638374e-10	-0.88500434	-0.3257222	-0.028540174
7.600331038091823e-10	-0.85023236	-0.32200396	0.0056469543
7.701962474457885e-10	-0.8380659	-0.28842193	0.03220224
7.801988781618899e-10	-0.85262764	-0.25243437	0.043300424
7.900735387214717e-10	-0.90052325	-0.2115886	0.043391574
8.001178159848938e-10	-0.9450109	-0.1603106	0.043917704
8.101277434676516e-10	-0.9653454	-0.11024714	0.05100066
8.202019178402715e-10	-0.97715133	-0.063943274	0.058033038
8.300398132430256e-10	-0.9732945	-0.017038688	0.05764315
8.402005332855252e-10	-0.9652914	0.028949425	0.04505492
8.501422480159073e-10	-0.96832716	0.061456118	0.031607296
8.601900464396888e-10	-0.9720551	0.083121926	0.028749043
8.702173077517633e-10	-0.9780887	0.101044305	0.030019093
8.800674970570515e-10	-0.9847344	0.11541012	0.025272781
8.902198441076917e-10	-0.9851955	0.11537409	0.013504182
9.001830374679537e-10	-0.98663723	0.099629	-0.0003322981
9.100291328655268e-10	-0.98965085	0.071587354	-0.009318394
9.200839743673066e-10	-0.9885752	0.03295092	-0.01049758
9.300358121410418e-10	-0.9890736	-0.0042264806	-0.007606754
9.402264144026613e-10	-0.9916365	-0.036585428	-0.004321146
